#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,translate,翻译,pt,19,562000,1.00,0.16,tradutor,2025-10-22 00:00:38,Knowledge card,253100000,180000,204000,2015-09-01,"Informational,Non-branded,Non-local"
2,porn,A片,pt,89,367000,0.35,1.14,porn,2025-10-24 13:32:17,Sitelinks,113800000,378000,304000000,2015-09-01,"Navigational,Non-branded,Non-local"
3,tempo,速度,pt,36,356000,0.10,0.7,meteorologia,2025-10-20 16:38:55,"Knowledge card,Sitelinks,Video preview",3150000,405000,415000,2015-09-01,"Informational,Non-branded,Non-local"
4,meus resultados,我的结果,pt,30,299000,0.70,1.05,meus resultados,2025-10-20 03:14:29,Sitelinks,560000,498000,617000,2015-09-01,"Informational,Non-branded,Non-local"
5,weather,天气,pt,77,223000,0.10,0.43,weather,2025-10-21 10:04:09,Sitelinks,136100000,20000,7910000,2015-09-01,"Informational,Non-branded,Non-local"
6,financas,金融,pt,34,151000,0.90,1.1,portal das finanças,2025-10-20 22:01:02,,159000,916000,937000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
7,portugal,葡萄牙,pt,85,136000,0.15,0.48,portugal,2025-10-24 22:51:30,"Thumbnail,Sitelinks,Top stories,Knowledge panel,People also ask,Video preview",2940000,8800,27000,2015-09-01,"Informational,Non-branded,Non-local"
8,traduzir,翻译,pt,11,123000,0.10,0.13,tradutor,2025-10-21 02:38:33,"Knowledge card,Sitelinks",2380000,192000,218000,2015-09-01,"Informational,Non-branded,Non-local"
9,euro real,真实欧元,pt,35,121000,0.30,0.37,euro para real,2025-10-21 04:21:03,,355000,105000,348000,2015-09-01,"Informational,Non-branded,Non-local"
10,g,克,pt,21,103000,0.15,0.11,google,2025-10-21 20:09:12,Sitelinks,23220000,54000,54000,2015-09-01,"Navigational,Non-branded,Non-local"
11,bola,她,pt,0,99000,0.25,1.04,abola,2025-10-21 10:06:19,"Sitelinks,Top stories,Thumbnail,Knowledge panel,Video preview",646000,763000,1050000,2015-09-01,"Informational,Non-branded,Non-local"
12,gyokeres,焦克雷斯,pt,8,95000,0.20,,gyokeres,2025-10-24 21:52:00,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",1040000,25000,25000,2017-11-21,"Informational,Non-branded,Non-local"
13,aviso de chuva,降雨警告,pt,2,87000,0.10,,aviso amarelo,2025-10-21 11:04:36,"People also ask,Sitelinks",90000,34000,34000,2021-12-07,"Informational,Non-branded,Non-local"
14,euro to inr,欧元 兑换 印度卢比,pt,1,87000,0.70,0.32,euro rate in india,2025-10-20 23:19:09,"People also ask,Sitelinks",3100000,22000,203000,2015-09-21,"Informational,Non-branded,Non-local"
15,portuguese to english,葡萄牙语 到 英语,pt,26,68000,0.25,0.26,portuguese to english,2025-10-21 10:34:32,"Knowledge card,Sitelinks",663000,4500,31000,2015-09-01,"Informational,Non-branded,Non-local"
16,os meus resultados,我的结果,pt,30,68000,0.25,1.08,meus resultados,2025-10-21 23:53:59,Sitelinks,84000,498000,619000,2015-09-01,"Informational,Non-branded,Non-local"
17,sexo,性别,pt,1,67000,0.30,1.15,sexo com,2025-10-21 00:47:45,"Top stories,Thumbnail,Video preview",3110000,20,20,2015-09-01,"Informational,Non-branded,Non-local"
18,irs,国税局,pt,7,65000,0.60,1.06,irs,2025-10-21 20:46:32,"Sitelinks,Top stories,Thumbnail,People also ask",1830000,108000,109000,2015-09-01,"Informational,Non-branded,Non-local"
19,tradutor ingles portugues,英语 葡萄牙语 翻译,pt,27,59000,0.15,0.21,tradutor,2025-10-24 08:45:34,"Knowledge card,Video preview",361000,197000,219000,2015-09-01,"Informational,Non-branded,Non-local"
20,aveiro,阿威罗,pt,41,56000,0.20,0.39,aveiro,2025-10-20 23:52:54,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",152000,2200,5500,2015-09-01,"Informational,Non-branded,Local"
21,drive,驾驶,pt,39,56000,0.30,0.04,drive,2025-10-22 02:11:18,,7490000,3600,47000,2015-09-01,"Informational,Non-branded,Non-local"
22,word online,网上的话,pt,7,55000,0.10,1.11,word online,2025-10-22 00:47:39,Sitelinks,2360000,105000,105000,2015-09-01,"Informational,Non-branded,Non-local"
23,euribor,欧元银行同业拆借利率,pt,0,54000,0.90,1.06,euribor,2025-10-21 03:33:14,"Sitelinks,Top stories,Thumbnail,People also ask,Knowledge panel",560000,57000,58000,2015-09-01,"Informational,Non-branded,Non-local"
24,rússia,俄罗斯,pt,2,52000,0.15,0.5,rússia,2025-10-20 23:02:03,"Top stories,Thumbnail,Sitelinks,Video preview",168000,9100,79000,2015-09-07,"Informational,Non-branded,Non-local"
25,apagao,阿高,pt,2,52000,0.70,0.34,apagao em portugal,2025-10-22 02:00:26,"Top stories,Thumbnail,People also ask,Knowledge panel",63000,20000,21000,2015-12-19,"Informational,Non-branded,Non-local"
26,apagão,停电,pt,0,52000,0.50,0.34,apagao em portugal,2025-10-20 15:59:28,"Top stories,Thumbnail,People also ask,Knowledge panel,Video preview",76000,14000,15000,2015-10-08,"Informational,Non-branded,Non-local"
27,trad,传统,pt,9,51000,0.30,0.04,tradutor,2025-10-24 20:32:59,"Knowledge card,Sitelinks,Thumbnail,Video preview",5220000,197000,219000,2015-09-01,"Informational,Non-branded,Non-local"
28,tabelas irs 2024,国税局表格 2024,pt,4,51000,0.60,,tabelas irs 2024,2025-10-20 19:45:22,People also ask,51000,53000,53000,2023-01-07,"Informational,Non-branded,Non-local"
29,english to portuguese,英语 到 葡萄牙语,pt,34,51000,0.15,0.27,google translate,2025-10-21 22:05:26,"Knowledge card,Sitelinks",553000,15000,10120000,2015-09-01,"Informational,Non-branded,Non-local"
